Year,Month,RH_past,RH_pasttopast,RelativeHumidity
2002,1,35.76,28.38,39.29
2002,2,20.56,36.69,31.59
2002,3,29.99,22.29,24.67
2002,4,32.76,28.46,25.98
2002,5,43.92,51.01,47.2
2002,6,69.19,73.3,69.95
2002,7,72.99,76.44,72.08
2002,8,77.76,78.57,77.06
2002,9,73.35,73.83,71.8
2002,10,73.38,61.8,59.76
2002,11,60.46,49.84,43.87
2002,12,45.28,26.46,33.28
2003,1,39.29,35.76,35.5
2003,2,31.59,20.56,30.11
2003,3,24.67,29.99,25.15
2003,4,25.98,32.76,30.38
2003,5,47.2,43.92,34.68
2003,6,69.95,69.19,63.91
2003,7,72.08,72.99,76.38
2003,8,77.06,77.76,76.33
2003,9,71.8,73.35,73.33
2003,10,59.76,73.38,61.74
2003,11,43.87,60.46,45.51
2003,12,33.28,45.28,36.3
2004,1,35.5,39.29,36.93
2004,2,30.11,31.59,26.74
2004,3,25.15,24.67,20.29
2004,4,30.38,25.98,29.45
2004,5,34.68,47.2,55.63
2004,6,63.91,69.95,73.61
2004,7,76.38,72.08,77.57
2004,8,76.33,77.06,79.64
2004,9,73.33,71.8,78.07
2004,10,61.74,59.76,69.02
2004,11,45.51,43.87,58.05
2004,12,36.3,33.28,39.85
2005,1,36.93,35.5,34.46
2005,2,26.74,30.11,30.09
2005,3,20.29,25.15,27
2005,4,29.45,30.38,36.64
2005,5,55.63,34.68,41.53
2005,6,73.61,63.91,67.01
2005,7,77.57,76.38,81.09
2005,8,79.64,76.33,82.68
2005,9,78.07,73.33,83.19
2005,10,69.02,61.74,74.77
2005,11,58.05,45.51,64.19
2005,12,39.85,36.3,54.8
2006,1,34.46,36.93,40.48
2006,2,30.09,26.74,24.23
2006,3,27,20.29,32.29
2006,4,36.64,29.45,28.92
2006,5,41.53,55.63,43.67
2006,6,67.01,73.61,72.62
2006,7,81.09,77.57,80.36
2006,8,82.68,79.64,82.96
2006,9,83.19,78.07,81.27
2006,10,74.77,69.02,73.6
2006,11,64.19,58.05,72.62
2006,12,54.8,39.85,57.46
2007,1,40.48,34.46,42.78
2007,2,24.23,30.09,36.07
2007,3,32.29,27,25.52
2007,4,28.92,36.64,27.2
2007,5,43.67,41.53,40.92
2007,6,72.62,67.01,68.64
2007,7,80.36,81.09,79.14
2007,8,82.96,82.68,80.31
2007,9,81.27,83.19,82.35
2007,10,73.6,74.77,67.01
2007,11,72.62,64.19,58.13
2007,12,57.46,54.8,51.47
2008,1,42.78,40.48,32.75
2008,2,36.07,24.23,31.06
2008,3,25.52,32.29,34.36
2008,4,27.2,28.92,30.77
2008,5,40.92,43.67,41.86
2008,6,68.64,72.62,70.96
2008,7,79.14,80.36,72.05
2008,8,80.31,82.96,79.05
2008,9,82.35,81.27,80.25
2008,10,67.01,73.6,69.53
2008,11,58.13,72.62,63.44
2008,12,51.47,57.46,53.17
2009,1,32.75,42.78,38.27
2009,2,31.06,36.07,24.84
2009,3,34.36,25.52,24.82
2009,4,30.77,27.2,25.9
2009,5,41.86,40.92,40.11
2009,6,70.96,68.64,65.12
2009,7,72.05,79.14,77.68
2009,8,79.05,80.31,76.52
2009,9,80.25,82.35,76.66
2009,10,69.53,67.01,71.43
2009,11,63.44,58.13,70.59
2009,12,53.17,51.47,61.44
2010,1,38.27,32.75,52.23
2010,2,24.84,31.06,36.75
2010,3,24.82,34.36,26.13
2010,4,25.9,30.77,28.21
2010,5,40.11,41.86,38.24
2010,6,65.12,70.96,70.68
2010,7,77.68,72.05,79.02
2010,8,76.52,79.05,81.75
2010,9,76.66,80.25,80.36
2010,10,71.43,69.53,75.68
2010,11,70.59,63.44,76.55
2010,12,61.44,53.17,61.55
2011,1,52.23,38.27,43.57
2011,2,36.75,24.84,34.94
2011,3,26.13,24.82,22.64
2011,4,28.21,25.9,33.1
2011,5,38.24,40.11,41.54
2011,6,70.68,65.12,71.74
2011,7,79.02,77.68,76.46
2011,8,81.75,76.52,79.18
2011,9,80.36,76.66,78.08
2011,10,75.68,71.43,72.99
2011,11,76.55,70.59,58.35
2011,12,61.55,61.44,41.98
2012,1,43.57,52.23,36.63
2012,2,34.94,36.75,24.3
2012,3,22.64,26.13,18.34
2012,4,33.1,28.21,29.48
2012,5,41.54,38.24,37.2
2012,6,71.74,70.68,60.71
2012,7,76.46,79.02,75
2012,8,79.18,81.75,75.54
2012,9,78.08,80.36,75.11
2012,10,72.99,75.68,67.97
2012,11,58.35,76.55,57.9
2012,12,41.98,61.55,42.06
2013,1,36.63,43.57,34.75
2013,2,24.3,34.94,32.94
2013,3,18.34,22.64,25.31
2013,4,29.48,33.1,30.59
2013,5,37.2,41.54,40.45
2013,6,60.71,71.74,75.22
2013,7,75,76.46,81.55
2013,8,75.54,79.18,79.19
2013,9,75.11,78.08,78.07
2013,10,67.97,72.99,74.47
2013,11,57.9,58.35,63.62
2013,12,42.06,41.98,48.68
2014,1,34.75,36.63,43.85
2014,2,32.94,24.3,38.58
2014,3,25.31,18.34,39.17
2014,4,30.59,29.48,29.11
2014,5,40.45,37.2,38.41
2014,6,75.22,60.71,55.07
2014,7,81.55,75,73.4
2014,8,79.19,75.54,77.15
2014,9,78.07,75.11,76.47
2014,10,74.47,67.97,65.83
2014,11,63.62,57.9,60.78
2014,12,48.68,42.06,53.29
2015,1,43.85,34.75,42.1
2015,2,38.58,32.94,29.03
2015,3,39.17,25.31,39.22
2015,4,29.11,30.59,32.9
2015,5,38.41,40.45,44.62
2015,6,55.07,75.22,66.64
2015,7,73.4,81.55,70.38
2015,8,77.15,79.19,69.61
2015,9,76.47,78.07,70.82
2015,10,65.83,74.47,63.54
2015,11,60.78,63.62,53.07
2015,12,53.29,48.68,39.69
2016,1,42.1,43.85,30.36
2016,2,29.03,38.58,31.67
2016,3,39.22,39.17,29.02
2016,4,32.9,29.11,27.68
2016,5,44.62,38.41,39.87
2016,6,66.64,55.07,68.08
2016,7,70.38,73.4,80.84
2016,8,69.61,77.15,80.13
2016,9,70.82,76.47,80.12
2016,10,63.54,65.83,70.49
2016,11,53.07,60.78,54.19
2016,12,39.69,53.29,44.33
2017,1,30.36,42.1,34.85
2017,2,31.67,29.03,24.43
2017,3,29.02,39.22,25.49
2017,4,27.68,32.9,24.09
2017,5,39.87,44.62,38.06
2017,6,68.08,66.64,69.79
2017,7,80.84,70.38,76.17
2017,8,80.13,69.61,76.57
2017,9,80.12,70.82,79.02
2017,10,70.49,63.54,74.36
2017,11,54.19,53.07,64.33
2017,12,44.33,39.69,56.53
2018,1,34.85,30.36,40.52
2018,2,24.43,31.67,29.1
2018,3,25.49,29.02,26.73
2018,4,24.09,27.68,26.18
2018,5,38.06,39.87,38.15
2018,6,69.79,68.08,72.42
2018,7,76.17,80.84,77.64
2018,8,76.57,80.13,77.89
2018,9,79.02,80.12,70.89
2018,10,74.36,70.49,53.71
2018,11,64.33,54.19,45.54
2018,12,56.53,44.33,40.15
2019,1,40.52,34.85,34.85
2019,2,29.1,24.43,24.43
2019,3,26.73,25.49,25.49
2019,4,26.18,24.09,24.09
2019,5,38.15,38.06,38.06
2019,6,72.42,69.79,69.79
2019,7,77.64,76.17,76.17
2019,8,77.89,76.57,76.57
2019,9,70.89,79.02,79.02
2019,10,53.71,74.36,74.36
2019,11,45.54,64.33,64.33
2019,12,40.15,56.53,56.53
