Year,Month,Precipitation,maxtemp,mintemp,avgtemp,specifichumidity,relativehumidity,surfacepressure,dewpoints,minwindspeed,maxwindspeed,cloudcoverage,NDVI
2016,1,0,31.47,14.27,17.21,0.005412,30.36,94.51,3.51,1.33,4.31,0.63,0.31
2016,2,5.22,35.18,17.8,17.38,0.00713,31.67,94.38,7.36,1.03,4.62,0.63,0.35
2016,3,7.33,37.66,21.26,16.39,0.007753,29.02,94.27,8.57,1.26,4.75,0.66,0.31
2016,4,4.44,40.7,23.56,17.14,0.00882,27.68,94,10.63,1.57,5.67,0.63,0.25
2016,5,7.59,39.83,24.47,15.36,0.012476,39.87,93.86,15.92,3.33,6.94,0.62,0.24
2016,6,104.36,32.61,23.13,9.48,0.016247,68.08,93.76,20.53,3.77,7.76,0.4,0.29
2016,7,267.6,29.03,22,7.03,0.016977,80.84,93.72,21.29,4.17,8.58,0.27,0.33
2016,8,184,29.4,21.24,8.16,0.016542,80.13,93.77,20.88,4.12,9.04,0.35,0.39
2016,9,171.28,28.72,20.63,8.09,0.015898,80.12,93.94,20.23,2.98,6.39,0.39,0.42
2016,10,47.53,29.61,17.6,12.01,0.013234,70.49,94.17,17.11,1.9,4.05,0.54,0.45
2016,11,2.15,29.8,12.98,16.82,0.008634,54.19,94.42,10.54,2.1,4.3,0.66,0.4
2016,12,0.47,30.27,12.82,17.45,0.007315,44.33,94.46,7.47,2.09,4.38,0.63,0.35
2017,1,0,30.7,13.43,17.27,0.005901,34.85,94.47,4.88,1.56,4.31,0.66,0.35
2017,2,0,34.78,16.26,18.52,0.005095,24.43,94.44,2.7,1.69,4.87,0.69,0.33
2017,3,2.12,37.22,18.75,18.47,0.00638,25.49,94.16,5.43,1.17,4.72,0.68,0.38
2017,4,1.2,40.48,21.43,19.05,0.007138,24.09,94.03,6.82,1.84,5.68,0.66,0.35
2017,5,20.86,39.79,24.39,15.4,0.011883,38.06,93.89,15.2,2.53,6.48,0.62,0.37
2017,6,146.92,32.45,23.06,9.39,0.01656,69.79,93.73,20.86,3.86,7.78,0.44,0.4
2017,7,161.22,30.27,22.17,8.1,0.01661,76.17,93.75,20.93,5.18,10.36,0.33,0.42
2017,8,158.06,30.14,21.36,8.78,0.016198,76.57,93.75,20.52,3.4,7.8,0.38,0.46
2017,9,205.18,30.2,21.6,8.6,0.017074,79.02,93.94,21.4,1.78,4.55,0.44,0.41
2017,10,127.22,29.7,19.67,10.03,0.015034,74.36,94.08,19.17,1.43,3.56,0.53,0.4
2017,11,1.73,28.97,14.77,14.19,0.01098,64.33,94.31,14.28,1.69,4.24,0.63,0.4
2017,12,3,28.42,13.46,14.96,0.009119,56.53,94.44,11.06,1.8,4.96,0.59,0.34
2018,1,0.09,29.82,12.84,16.97,0.006711,40.52,94.35,6.7,1.3,3.93,0.66,0.31
2018,2,0,33.2,16.68,16.52,0.00591,29.1,94.39,4.88,1.32,4.11,0.69,0.32
2018,3,0.05,36.84,20.58,16.26,0.006907,26.73,94.18,7.19,1.15,4.21,0.68,0.29
2018,4,0.1,39.81,23.02,16.79,0.008104,26.18,94,9.58,1.23,4.89,0.66,0.33
2018,5,1.07,39.48,24.14,15.34,0.011703,38.15,93.83,15.18,2.1,6.16,0.62,0.34
2018,6,4.09,31.45,23.1,8.35,0.016853,72.42,93.66,21.26,3.59,7.88,0.44,0.39
2018,7,5.17,29.46,21.98,7.48,0.016475,77.64,93.64,20.85,5.23,10.57,0.33,0.4
2018,8,4.53,29.42,21.3,8.12,0.016013,77.89,93.78,20.42,5.15,10.2,0.38,0.43
2018,9,1.98,31.32,20.41,10.91,0.01508,70.89,94.07,19.54,2.01,5.46,0.44,0.45
2018,10,0.74,33.12,19.61,13.51,0.012049,53.71,94.28,15.71,1.17,4.46,0.53,0.45
2018,11,0.44,32.22,17.53,14.7,0.00947,45.54,94.41,11.47,1.56,4.48,0.63,0.41
2018,12,0.01,30.31,14.13,16.18,0.007077,40.15,94.47,6.99,1.58,4.64,0.59,0.38
2019,1,0,30.7,13.43,17.27,0.005901,34.85,94.47,4.88,1.56,4.31,0.66,0.34
2019,2,198.64,34.78,16.26,18.52,0.005095,24.43,94.44,2.7,1.69,4.87,0.69,0.35
2019,3,23.66,37.22,18.75,18.47,0.00638,25.49,94.16,5.43,1.17,4.72,0.68,0.3
2019,4,77.93,40.48,21.43,19.05,0.007138,24.09,94.03,6.82,1.84,5.68,0.66,0.29
2019,5,4.41,39.79,24.39,15.4,0.011883,38.06,93.89,15.2,2.53,6.48,0.62,0.34
2019,6,233.42,32.45,23.06,9.39,0.01656,69.79,93.73,20.86,3.86,7.78,0.44,0.38
2019,7,137.09,30.27,22.17,8.1,0.01661,76.17,93.75,20.93,5.18,10.36,0.33,0.4
2019,8,40.58,30.14,21.36,8.78,0.016198,76.57,93.75,20.52,3.4,7.8,0.38,0.4
2019,9,197.04,30.2,21.6,8.6,0.017074,79.02,93.94,21.4,1.78,4.55,0.44,0.4
2019,10,124.8,29.7,19.67,10.03,0.015034,74.36,94.08,19.17,1.43,3.56,0.53,0.4
2019,11,17.29,28.97,14.77,14.19,0.01098,64.33,94.31,14.28,1.69,4.24,0.63,0.41
2019,12,2.68,28.42,13.46,14.96,0.009119,56.53,94.44,11.06,1.8,4.96,0.59,0.36
