Year,Precipitation,maxtemp,mintemp,avgtemp,specifichumidity,relativehumidity,surfacepressure,dewpoints,minwindspeed,maxwindspeed,cloudcoverage,Nitrogen,Phosphorus,Pottasium,pH,NDVI,Yield
1999,900.36,32.27,19.14,13.13,0.011637,55,94.02,13.99,2.16,5.23,0.55,0,1,1,2,0.369,105.73
2000,600.34,32.93,18.87,14.06,0.010941,50.6,93.98,12.46,2.58,5.96,0.56,-1,1,2,2,0.355333333,91.49
2001,547.98,32.79,19.17,13.62,0.011391,53.15,94.03,13.59,2.71,6.2,0.56,0,1,1,2,0.403,94.62
2002,500.32,33.53,19.61,13.91,0.011091,49.82,94.08,13.21,2.59,6.08,0.56,0,1,0,2,0.4122,93.05
2003,402.86,33.77,19.89,13.87,0.011109,49.22,94.07,13.33,2.55,6.1,0.56,-2,-1,0,2,0.308,67.29
2004,690.69,32.54,19.13,13.4,0.011452,53.82,94.09,13.56,2.62,6.02,0.56,-2,0,1,2,0.458,80.83
2005,904.8,31.97,19,12.98,0.011786,56.6,94.06,14.19,2.57,6.03,0.54,-1,1,2,2,0.454,88.79
2006,933.51,31.99,19.09,12.9,0.011998,57.74,94.07,14.56,2.58,6.12,0.54,-2,0,1,2,0.453,83.68
2007,715.04,32.52,19.43,13.09,0.011772,55.07,94.02,14.39,2.45,5.96,0.54,-1,1,2,2,0.359,84.47
2008,645.33,32.27,19.14,13.13,0.011637,55,94.02,13.99,2.56,6,0.59,-2,0,1,2,0.431,83.93
2009,731.75,32.86,19.8,13.06,0.011776,54.63,94.04,14.31,2.54,5.96,0.58,-1,1,2,2,0.43,89.45
2010,799.15,32.39,20.2,12.19,0.012701,59.06,94.01,15.74,2.39,5.74,0.56,0,1,2,2,0.486,94.1
2011,659.16,32.47,19.16,13.31,0.011652,54.65,94.01,14.11,2.61,6.26,0.58,0,1,1,2,0.459,98.62
2012,464.38,33.31,19.47,13.84,0.011018,50.1,94.02,12.9,2.61,6.2,0.59,-1,1,1,2,0.437,93.27
2013,659.18,32.54,19.66,12.87,0.011902,55.52,94.02,14.47,2.66,6.36,0.54,0,2,2,2,0.461,100.59
2014,622.83,32.74,19.69,13.05,0.011856,54.38,94.11,14.81,2.47,6.05,0.54,-1,1,2,2,0.416,98.96
2015,496.85,33.33,19.83,13.5,0.011725,51.94,94.15,14.38,2.37,5.85,0.55,-1,1,2,2,0.434,96.64
2016,801.98,32.84,19.31,13.53,0.011382,53.13,94.1,13.68,2.48,5.91,0.54,0,2,2,2,0.445,124.38
2017,827.51,32.74,19.21,13.53,0.011535,53.82,94.08,13.67,2.33,5.78,0.55,-1,1,1,2,0.4003,99
2018,353.5,33.03,19.62,13.41,0.011057,50.04,94.09,13.36,2.29,5.93,0.56,-2,-1,0,3,0.452,67.29
2019,1057.54,32.8,19.2,13.6,0.0114977,53.6,94.1,13.6,2.3,5.8,0.6,-1,1,2,2,0.404,99
